,0
0,https://www.antaranews.com/video/3830244/pj-gubernur-ajak-warga-dki-dan-asn-peduli-kebersihan-lingkungan
1,https://www.antaranews.com/berita/3830127/gerai-sim-keliling-hanya-buka-di-dua-lokasi
2,https://www.antaranews.com/berita/3830124/kriminal-sepekan-pengungkapan-kasus-pembunuhan-hingga-tiket-coldplay
3,https://www.antaranews.com/berita/3830121/kualitas-udara-dki-membaik-pada-minggu-pagi
4,https://www.antaranews.com/berita/3830097/dki-kemarin-dari-pasien-mpox-yang-sembuh-hingga-penumpang-lrt
5,https://www.antaranews.com/berita/3830088/sebagian-dki-akan-hujan-ringan-pada-minggu-malam
6,https://www.antaranews.com/berita/3830079/jenazah-balita-yang-tenggelam-di-ciliwung-ditemukan
7,https://www.antaranews.com/berita/3830046/polisi-ungkap-temuan-baru-dalam-kasus-tewasnya-bapak-dan-anak-di-koja
8,https://www.antaranews.com/berita/3829953/tim-sar-perluas-area-pencarian-balita-yang-tenggelam-di-ciliwung
9,https://www.antaranews.com/berita/3829827/pelajar-smk-antusias-ikuti-bazar-umkm-di-kota-tua
10,https://www.antaranews.com/berita/3829575/polda-metro-jaya-kerahkan-188-personel-untuk-patroli-skala-besar
11,https://www.antaranews.com/berita/3829557/bank-dki-dan-pasar-jaya-permudah-kelola-pembayaran-pedagang-pasar
12,https://www.antaranews.com/berita/3829509/penumpang-lrt-jakarta-naik-rata-rata-mencapai-2800-penumpang-per-hari
13,https://www.antaranews.com/berita/3829497/sebanyak-16-dari-37-penderita-cacar-monyet-di-jakarta-sudah-sembuh
14,https://www.antaranews.com/berita/3829425/sopir-taksi-online-ditemukan-tewas-membusuk-di-jaksel-karena-sakit
15,https://www.antaranews.com/berita/3830844/transaksi-peserta-umkm-di-gernas-bbi-lampaui-target-rp100-miliar
16,https://www.antaranews.com/berita/3830556/pokja-jurnalis-jakarta-utara-beri-pelatihan-jurnalistik-bagi-siswa
17,https://www.antaranews.com/berita/3830805/siswa-smk-dan-sekolah-vokasi-peragakan-30-koleksi-busana-di-kota-tua
18,https://www.antaranews.com/berita/3831015/senin-masih-tersedia-samsat-keliling-di-jadetabek
19,https://www.antaranews.com/berita/3831060/senin-sim-keliling-tersedia-di-lima-lokasi-jakarta
20,https://www.antaranews.com/berita/3831216/gotong-royong-dinilai-efektif-tingkatkan-kepedulian-pada-lingkungan
21,https://www.antaranews.com/berita/3831438/dpmptsp-gelar-lomba-dongeng-promosikan-nilai-baik-tentang-perizinan
22,https://www.antaranews.com/berita/3831558/satpol-pp-tertibkan-apk-yang-dipasang-sebelum-waktu-kampanye
23,https://www.antaranews.com/berita/3831615/shinta-yosefina-resmi-jadi-anggota-dprd-dki
24,https://www.antaranews.com/berita/3831591/tiga-pelaku-tawuran-di-matraman-ditangkap-polisi
25,https://www.antaranews.com/berita/3829413/dki-realisasikan-98-persen-pembayaran-kekurangan-gaji-petugas-pjlp
26,https://www.antaranews.com/berita/3829338/satpol-pp-dki-libatkan-masyarakat-wujudkan-pemilu-yang-aman-dan-damai
27,https://www.antaranews.com/berita/3829278/pemakaian-listrik-ilegal-berpotensi-ancam-keselamatan-jiwa
28,https://www.antaranews.com/berita/3829158/daftar-10-lokasi-samsat-keliling-di-jadetabek-pada-sabtu
29,https://www.antaranews.com/berita/3829155/kualitas-udara-di-dki-kembali-masuk-kategori-tak-sehat-pada-sabtu-pagi
30,https://www.antaranews.com/berita/3829140/sim-keliling-dki-hanya-beroperasi-sampai-pukul-1200-wib-pada-sabtu
31,https://www.antaranews.com/berita/3829137/kriminal-kemarin-leon-dozan-ditangkap-hingga-lanjutan-kasus-firli
32,https://www.antaranews.com/berita/3829134/dki-kemarin-progres-halte-cawang-hingga-tiga-usulan-ump-jakarta
33,https://www.antaranews.com/berita/3829131/bmkg-prediksi-cuaca-jakarta-cerah-berawan-pada-sabtu
34,https://www.antaranews.com/berita/3829026/ump-dki-jakarta-2024-diumumkan-paling-lambat-21-november
35,https://www.antaranews.com/berita/3828999/sidang-penetapan-ump-dki-2024-hasilkan-tiga-poin-usulan
36,https://www.antaranews.com/berita/3828933/pemkot-jakbar-perkuat-kapasitas-relawan-tanggap-bencana
37,https://www.antaranews.com/berita/3828861/waduk-lebak-bulus-kian-hijau-usai-ditanam-110-pohon-tumbuhan-semak
38,https://www.antaranews.com/berita/3828762/lemkapi-berharap-masyarakat-belajar-dari-kasus-leon-dozan
39,https://www.antaranews.com/berita/3828735/pemilu-2024-pemkot-jaktim-minta-banser-berperan-jaga-kondusivitas
40,https://www.antaranews.com/berita/3830844/transaksi-peserta-umkm-di-gernas-bbi-lampaui-target-rp100-miliar
41,https://www.antaranews.com/berita/3830556/pokja-jurnalis-jakarta-utara-beri-pelatihan-jurnalistik-bagi-siswa
42,https://www.antaranews.com/berita/3830805/siswa-smk-dan-sekolah-vokasi-peragakan-30-koleksi-busana-di-kota-tua
43,https://www.antaranews.com/berita/3831015/senin-masih-tersedia-samsat-keliling-di-jadetabek
44,https://www.antaranews.com/berita/3831060/senin-sim-keliling-tersedia-di-lima-lokasi-jakarta
45,https://www.antaranews.com/berita/3831216/gotong-royong-dinilai-efektif-tingkatkan-kepedulian-pada-lingkungan
46,https://www.antaranews.com/berita/3831438/dpmptsp-gelar-lomba-dongeng-promosikan-nilai-baik-tentang-perizinan
47,https://www.antaranews.com/berita/3831558/satpol-pp-tertibkan-apk-yang-dipasang-sebelum-waktu-kampanye
48,https://www.antaranews.com/berita/3831615/shinta-yosefina-resmi-jadi-anggota-dprd-dki
49,https://www.antaranews.com/berita/3831591/tiga-pelaku-tawuran-di-matraman-ditangkap-polisi
50,https://www.antaranews.com/berita/3828711/legislator-ingatkan-parpol-patuhi-aturan-pasang-alat-peraga-kampanye
51,https://www.antaranews.com/berita/3828675/kepolisian-lakukan-patroli-dialogis-guna-serap-informasi-kamtibmas
52,https://www.antaranews.com/berita/3828645/dinkes-dki-saring-kepesertaan-jkn-agar-anggaran-lebih-efektif
53,https://www.antaranews.com/berita/3828594/polisi-ungkap-kasus-pembunuhan-yang-mayatnya-ditemukan-di-bkt-cakung
54,https://www.antaranews.com/berita/3828522/transjakarta-perpanjang-layanan-tiga-rute-saat-piala-dunia-u-17
55,https://www.antaranews.com/berita/3828414/literasi-siber-membantu-milenial-kritis-di-tengah-polarisasi
56,https://www.antaranews.com/berita/3828348/pemprov-dki-masih-proses-kekurangan-pembayaran-gaji-pjlp
57,https://www.antaranews.com/berita/3828258/tarif-transjakarta-rute-kalideres-soetta-tunggu-keputusan-pemprov-dki
58,https://www.antaranews.com/berita/3828246/polda-metro-jaya-kpk-sepakat-tidak-lakukan-supervisi-pada-kasus-syl
