,Navigasi,Link
44,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3448188/hoaks-laporan-surat-tilang-di-whatsapp-dengan-format-apk
45,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2653997/misinformasi-empat-orang-digulung-tsunami-tonga-dalam-video-tv-australia
46,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3641601/hoaks-foto-megawati-resmi-jadikan-puan-sebagai-bakal-cawapres-anies
47,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2757421/real-betis-geser-barca-dari-empat-besar-usai-tekuk-bilbao-1-0
48,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2327266/barcelona-berhasil-daftarkan-memphis-depay-eric-garcia-dan-rey-manaj
49,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2611993/barcelona-resmi-rampungkan-transfer-ferran-torres-dari-manchester-city
50,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3712737/villarreal-pecat-pelatih-quique-setien-setelah-catatkan-start-buruk
51,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2797893/penyerang-barcelona-luuk-de-jong-positif-covid-19
52,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3052513/hoaks-kulit-jeruk-bisa-putihkan-gigi
53,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2537833/bungkam-granada-4-1-real-madrid-puncaki-klasemen
54,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3033413/hoaks-video-penyelundupan-wanita-tuna-susila-dari-china
55,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2908385/luka-modric-dan-toni-kroos-konfirmasi-bertahan-di-real-madrid
56,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2635185/antoine-griezmann-tegaskan-tak-ingin-tinggalkan-atletico-madrid
57,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2106990/zidane-saya-bukan-pelatih-yang-buruk-tapi-juga-bukan-yang-terbaik
58,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3046705/hoaks-cacar-monyet-merupakan-kipi-dari-vaksin
59,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3345288/misinformasi-pemerintah-cetak-ribuan-ktp-wna-china-untuk-pemilu-2024
60,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3032597/joao-felix-siap-hadapi-tantangan-di-musim-ini-bersama-atletico-madrid
61,https://bengkulu.antaranews.com/38,https://www.antaranews.com/foto/2120270/la-liga-real-madrid-bermain-imbang-dengan-real-betis-0-0
62,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3464862/hoaks-act-kembali-kumpukan-dana-untuk-palestina
63,https://bengkulu.antaranews.com/38,https://www.antaranews.com/foto/3537885/liga-spanyol-real-madrid-menang-1-0-atas-getafe
64,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/1926028/eibar-pungkasi-tren-nirmenang-ketika-sociedad-imbang-lawan-osasuna
65,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3601005/hoaks-undangan-tahapan-seleksi-kerja-bpjs-kesehatan
66,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3701001/waspada-pesan-tugas-berhadiah-mengatasnamakan-traveloka
67,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2959405/misinformasi-lemon-lebih-ampuh-atasi-kanker-dibandingkan-kemoterapi
68,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2738449/ajak-gabung-barcelona-xavi-temui-langsung-erling-haaland
69,https://bengkulu.antaranews.com/38,https://www.antaranews.com/foto/2342734/liga-spanyol-athletic-bilbao-tahan-barcelona-1-1
70,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/1923288/osasuna-dan-alaves-berbagi-poin-di-laga-pemungkas-2020
71,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3722100/disinformasi-rapat-rahasia-antara-jokowi-sby-dan-megawati-pada-awal-september
72,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3755895/hoaks-video-bayi-selamat-dari-runtuhan-gempa-maroko
73,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2450245/hoaks-semua-pemilik-ktp-wajib-bayar-pajak
74,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3002189/hoaks-pasangan-di-ghana-wajib-gunakan-pakaian-pengantin-saat-bercerai
75,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3141545/hoaks-jet-tempur-jerman-tembak-jet-indonesia
76,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3303867/hoaks-foto-sungai-ciliwung-sebelum-dan-sesudah-era-heru-budi
77,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/1985852/gol-larut-roberto-soldado-selamatkan-granada-dari-kekalahan-di-levante
78,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3125333/hoaks-mahfud-minta-kpk-tangkap-semua-buzzer
79,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2133782/hajar-osasuna-2-0-real-madrid-terus-tempel-atletico
80,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3089369/hoaks-kapolri-tarik-komjen-firli-bahuri-dari-kpk
81,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2041210/zidane-ragukan-masa-depan-sergio-ramos-di-madrid
82,https://bengkulu.antaranews.com/38,https://www.antaranews.com/foto/2382913/luuk-de-jong-bergabung-dengan-barcelona
83,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/1879504/real-madrid-kembali-ke-jalur-kemenangan-dibantu-gol-bunuh-diri-sevilla
84,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2711601/hoaks-jokowi-kembali-diangkat-sebagai-presiden-pada-2024
85,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3178729/hoaks-twice-konser-di-depan-pendukung-persib
86,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2653509/xavi-akui-ousmane-dembele-bisa-tinggalkan-barcelona-di-januari
87,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3209169/hoaks-pemerintahan-jokowi-belum-akuisisi-saham-pt-freeport-indonesia
88,https://bengkulu.antaranews.com/38,https://kalsel.antaranews.com/berita/395226/bre-cup-u-14-jaring-50-pesepakbola-tapin-berbakat
89,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2769361/hoaks-arab-saudi-tidak-wajibkan-masker-bagi-jemaah-masjidil-haram
90,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2981093/franck-kessie-akui-tak-sabar-bermain-untuk-barcelona
91,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3061541/hoaks-ayah-rizieq-shihab-dalam-foto-bersama-soekarno-dan-soedirman
92,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2689793/misinfomasi-petugas-suntik-paksa-vaksin-ke-masyarakat
93,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2406869/hoaks-tutup-hidung-dengan-bawang-putih-dapat-keluarkan-lendir-dari-paru-paru
94,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3377976/real-madrid-kembali-ke-jalur-kemenangan-usai-tekuk-valencia-2-0
95,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2284126/barcelona-persilakan-miralem-pjanic-dan-samuel-umtiti-untuk-hengkang
96,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2639601/hoaks-facebook-minta-sertifikat-vaksin-covid-19-untuk-akses-akun
97,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3606996/barcelona-resmi-umumkan-transfer-ilkay-gundogan
98,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3353976/sociedad-dan-sevilla-amankan-tiket-16-besar-lewat-kemenangan-tipis
99,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3424086/hoaks-hakim-wahyu-iman-santoso-alami-kecelakaan-usai-vonis-mati-ferdy-sambo
100,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3609426/hoaks-foto-anies-bersama-raja-salman-di-makkah-saat-tawaf
101,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3833190/angka-pengangguran-terbuka-di-kabupaten-bekasi-jawa-barat-turun
102,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2054322/andrea-pirlo-senang-terus-bersama-ronaldo-musim-depan
103,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3734733/benarkah-tekan-angka-nol-saat-mendapat-telepon-kuras-rekening-simak-faktanya
104,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2791109/hoaks-pemilu-2024-ditunda
105,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/1907572/jadwal-liga-spanyol-momentum-atletico-tegaskan-jarak-dari-sociedad
106,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/1852916/zidane-merasa-real-madrid-seharusnya-dapat-lebih-dari-satu-poin
107,https://bengkulu.antaranews.com/38,https://bengkulu.antaranews.com/berita/319965/polda-lampung-kantongi-lima-nama-anggota-jaringan-joki-cpns
108,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2727181/hoaks-anies-baswedan-jadi-kepala-otorita-ikn
109,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3112289/hoaks-rusia-deklarasikan-perang-nuklir-lawan-ukraina
110,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2503885/hoaks-video-detik-detik-kecelakaan-mobil-vanessa-angel
111,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3628092/misinformasi-pemerintah-italia-tawarkan-pertandingan-elon-musk-vs-mark-zuckerberg-di-colosseum
112,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3319455/real-madrid-pertimbangkan-untuk-boyong-josko-gvardiol-dari-rb-leipzig
113,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2169198/atletico-siap-habis-habisan-dalam-laga-pamungkas-demi-juara-liga
114,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3661422/hoaks-poster-digital-layanan-aduan-polda-metro-jaya
115,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2844229/misinformasi-helikopter-mendarat-darurat-di-tol-merak
116,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3556974/hamilton-dukung-keberanian-vinicius-hadapi-rasisme-di-olahraga
117,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2087814/athletic-bilbao-seri-1-1-lawan-sociedad
118,https://bengkulu.antaranews.com/38,https://www.antaranews.com/foto/1998449/liga-spanyol-atletico-madrid-menang-atas-granada-2-1
119,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3116541/hoaks-pemerintah-larang-pelajar-sekolah-negeri-pakai-jilbab
120,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3455841/hoaks-jokowi-resmi-deklarasikan-gibran-dengan-anies-baswedan
121,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3094689/hoaks-pasukan-khusus-china-pergi-ke-ukraina-bantu-rusia
122,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2542677/pemkot-kendari-ajak-mahasiswa-dan-pelajar-tangkal-berita-hoaks
123,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3132333/hoaks-laudya-cynthia-bella-ke-istana-presiden-bahas-pernikahan-dengan-pangeran-arab
124,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/1956720/bono-angkat-sevilla-ke-posisi-empat-klasemen-la-liga
125,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3673500/waspada-penipuan-lowongan-kerja-melalui-linkedin
126,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3546153/disinformasi-denda-rp200-ribu-jika-telat-buat-ktp-satu-tahun
127,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3396213/valencia-tunjuk-mantan-pemainnya-ruben-baraja-jadi-pelatih-baru
128,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3615930/misinformasi-video-jokowi-akan-menjadi-cawapres-prabowo-di-pemilu-2024
129,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2590905/hoaks-gagal-jantung-hingga-strok-adalah-gejala-omicron
130,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3769995/anggota-muslimat-nu-ciptakan-aplikasi-untuk-tangkal-hoaks
131,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3511335/hoaks-video-data-hasil-pemungutan-suara-pemilu-2024
132,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2669893/hoaks-minum-kopi-tanpa-gula-dapat-mengatasi-omicron
133,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3027089/hoaks-kemunculan-ufo-di-tanah-abang
134,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3503004/barcelona-kokohkan-diri-di-puncak-klasemen-usai-tekuk-atletico-1-0
135,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/3710346/hoaks-beras-palsu-asal-tiongkok-beredar-di-tanah-air
136,https://bengkulu.antaranews.com/38,https://www.antaranews.com/berita/2880337/eden-hazard-tetap-bertahan-di-real-madrid-musim-depan-kata-ancelotti
