,0
58,https://www.antaranews.com/berita/3590340/menpora-dito-temui-putri-ariani-yang-curi-perhatian-di-agt-2023
59,https://www.antaranews.com/berita/2951129/penampilan-perdana-di-santiago-bernabeu-bikin-antonio-rudiger-kepincut
60,https://www.antaranews.com/berita/3073365/casemiro-sudah-tidak-sabar-bergabung-dengan-manchester-united
61,https://www.antaranews.com/video/3631737/masyarakat-boleh-ikut-uji-coba-lrt-jabodebek-mulai-27-juli-cuma-rp1
62,https://www.antaranews.com/berita/3142717/misinformasi-who-nyatakan-pandemi-covid-19-berakhir-14-september-2022
63,https://www.antaranews.com/video/3828552/timnas-panama-u-17-tinggalkan-solo-lewat-bandara-adi-soemarmo
64,https://www.antaranews.com/berita/3633693/mototrbo-r2-tawarkan-solusi-kelancaran-komunikasi-di-situasi-darurat
65,https://www.antaranews.com/berita/3435141/pemenuhan-gizi-seimbang-dimulai-dari-sarapan
66,https://www.antaranews.com/berita/3210137/ada-tempat-ngopi-santai-ala-co-working-space-baru-di-tebet
67,https://www.antaranews.com/berita/2975513/jaga-asa-inggris-cameron-norrie-ke-perempat-final-wimbledon
68,https://www.antaranews.com/berita/3792837/analis-rupiah-kamis-di-kisaran-rp15850-rp15950-per-dolar-as
69,https://www.antaranews.com/berita/3259517/yonashiro-sho-jo1-berpartisipasi-dalam-drama-fence
70,https://www.antaranews.com/berita/2929925/hadiah-wimbledon-capai-rekor-tertinggi-hingga-rp736-miliar
71,https://www.antaranews.com/berita/3668682/cerita-taika-waititi-saat-dirinya-dilamar-rita-ora
72,https://www.antaranews.com/berita/2963753/lafc-berharap-bale-pindah-tidak-cuma-demi-piala-dunia
73,https://www.antaranews.com/berita/3792384/tim-jatim-amankan-tiket-babak-32-besar-kejurnas-voli-pantai-2023
74,https://www.antaranews.com/berita/3465588/hoaks-ganjar-koster-dipecat-sebagai-gubernur-pada-30-maret-dampak-putusan-fifa
75,https://www.antaranews.com/berita/1411650/psg-luncurkan-platform-pengumpulan-dana-untuk-membantu-lawan-pandemi
76,https://www.antaranews.com/berita/3502131/drama-lima-gol-warnai-kemenangan-liverpool-atas-nottingham-forest
77,https://www.antaranews.com/berita/3394635/hokben-kini-sajikan-ramen-cita-rasa-pedas
78,https://www.antaranews.com/berita/3105593/swiatek-untuk-pertama-kalinya-melaju-ke-semifinal-us-open
79,https://www.antaranews.com/berita/3678261/psikolog-ungkap-alasan-gen-z-bisa-kreatif-dan-inovatif
80,https://www.antaranews.com/berita/3380634/newcastle-united-bermain-imbang-1-1-saat-jamu-west-ham
81,https://www.antaranews.com/berita/3717195/eko-yuli-raih-dua-perak-di-kejuaraan-dunia-iwf-2023
82,https://www.antaranews.com/berita/3644061/van-de-beek-sebut-gol-lawan-lyon-sebagai-momen-besar
83,https://www.antaranews.com/berita/3538647/bungkam-everton-3-0-manchester-city-kukuh-di-puncak-klasemen
84,https://www.antaranews.com/berita/3771756/legenda-f1-daniel-ricciardo-twa-kampanyekan-jelajah-australia-barat
85,https://www.antaranews.com/berita/2339458/singapura-punya-museum-of-ice-cream-hiburan-manis-di-tengah-pandemi
86,https://www.antaranews.com/video/3780612/tony-blair-sambangi-menkominfo-bahas-isu-penting-transformasi-digital
87,https://www.antaranews.com/berita/3754671/cacar-air-sering-dianggap-ringan-padahal-bisa-sebabkan-komplikasi
88,https://www.antaranews.com/berita/3820053/drama-delapan-gol-warnai-laga-chelsea-kontra-manchester-city
89,https://www.antaranews.com/berita/3515715/komentari-lagu-versi-ai-raisa-kenapa-nggak-bikin-aku-feat-jung-kook
90,https://www.antaranews.com/berita/2776553/petenis-nomor-satu-dunia-ashleigh-barty-pensiun-dari-tenis
91,https://www.antaranews.com/video/3477843/dokter-spesialis-gizi-anjurkan-konsumsi-lima-nutrisi-ini-selama-puasa
92,https://www.antaranews.com/infografik/3786306/desa-wisata-indonesia-masuk-daftar-terbaik-di-dunia
93,https://www.antaranews.com/berita/3789915/gdp-catat-tren-minat-konsumen-gemari-belanja-daring-sekaligus-luring
94,https://www.antaranews.com/berita/3351777/tiga-manfaat-hyaluronic-acid-untuk-kulit
95,https://www.antaranews.com/berita/835247/nantes-ikut-ikutan-tunda-gelar-juara-psg
96,https://www.antaranews.com/berita/1535868/kesalahan-pakai-masker-wajah-ini-bisa-sebabkan-masalah-kulit
97,https://www.antaranews.com/berita/3336477/tottenham-hotspur-libas-crystal-palace-empat-gol-tanpa-balas
98,https://www.antaranews.com/berita/3241573/cristiano-ronaldo-klaim-telah-dikhianati-manchester-united
99,https://www.antaranews.com/berita/3210829/buka-fine-counsel-greysia-polii-rambah-dunia-fesyen
100,https://www.antaranews.com/berita/3446349/rusia-pandang-indonesia-mitra-sangat-penting-di-asia
101,https://www.antaranews.com/berita/3021729/sirup-arek-suroboyo-hadir-di-fhi-2022-sasar-pasar-mancanegara
102,https://www.antaranews.com/berita/3696195/indonesia-ke-final-piala-aff-u-23-erick-thohir-alhamdulillah
103,https://www.antaranews.com/foto/3110261/kalahkan-frances-tiafoe-carlos-alcaraz-melaju-ke-final-us-open-2022
