,0
55,https://kalsel.antaranews.com/berita/395142/polisi-dan-suporter-alami-luka-usai-kericuhan-di-gresik
56,https://kalsel.antaranews.com/berita/395139/evakuasi-badan-pesawat-super-tucano-terkendala-cuaca
57,https://kalsel.antaranews.com/berita/395136/world-riders-test-south-kalimantans-2023-uncle-hard-enduro
58,https://kalsel.antaranews.com/berita/395133/bmkg-imbau-waspada-hujan-dan-angin-kencang-di-kalsel
59,https://kalsel.antaranews.com/berita/395130/anggota-dprd-kalsel-athaillah-gencarkan-sosialisasi-perda-11-2018
60,https://kalsel.antaranews.com/berita/395127/gulat-sumbang-dua-emas-kalsel-duduki-peringkat-12-pomnas
61,https://kalsel.antaranews.com/berita/395124/bawaslu-kalsel-bentuk-pokja-pengawasan-guna-perketat-kampanye
62,https://kalsel.antaranews.com/berita/395121/pemkot-banjarmasin-tangani-320-kilometer-jalan-perumahan
63,https://kalsel.antaranews.com/berita/395109/award-for-abdillah-onim-and-indonesias-clear-stance-on-palestine
64,https://kalsel.antaranews.com/berita/395106/bpjph-inks-agreement-with-37-foreign-halal-institutions
65,https://kalsel.antaranews.com/berita/395103/lipsus-festival-pasar-terapung-upaya-lestarikan-budaya-dan-dorong-pariwisata
66,https://kalsel.antaranews.com/berita/395100/masyarakat-panimbaan-panen-raya-ikan-nila-bioflok
67,https://kalsel.antaranews.com/berita/395094/246-asn-pemkab-hst-tanam-pohon-usai-kenaikan-pangkat
68,https://kalsel.antaranews.com/berita/395091/dprd-banjarbaru-dukung-penambahan-rute-bus-angkutan-perkotaan
69,https://kalsel.antaranews.com/berita/395088/panglima-tni-mutasi-60-pati-termasuk-danlanud-abdulrachman-saleh
70,https://kalsel.antaranews.com/berita/395085/kemendikbudristek-tinjau-pembangunan-politeknik-di-hulu-sungai-tengah
71,https://kalsel.antaranews.com/berita/395082/lima-korban-longsor-di-paser-kaltim-dievakuasi-bpbd-tabalong
72,https://kalsel.antaranews.com/berita/394410/wali-kota-banjarbaru-terima-penyerahan-dana-csr-dari-pt-am-intan-banjar
73,https://kalsel.antaranews.com/berita/394791/petugas-berjibaku-padamkan-kebakaran-di-asrama-korem-101-antasari-kalsel
74,https://kalsel.antaranews.com/berita/395052/polres-hst-kalsel-perkuat-sinergi-forkopimda-jelang-kampanye-pemilu
75,https://kalsel.antaranews.com/berita/394977/tiga-korban-tewas-tertimbun-longsor-di-tabalong-ditemukan
76,https://kalsel.antaranews.com/berita/394635/mobil-plat-merah-lepas-kendali-tabrak-empat-motor-di-tapin-kalsel
77,https://kalsel.antaranews.com/berita/394971/warga-antusias-sambut-gubernur-sahbirin-di-moment-aroh-ganal-bubuhan-banjar-di-riau
78,https://kalsel.antaranews.com/berita/395124/bawaslu-kalsel-bentuk-pokja-pengawasan-guna-perketat-kampanye
79,https://kalsel.antaranews.com/berita/395154/investasi-masuk-tanah-bumbu-capai-rp486-triliun-pada-2023
