,0
0,https://jatim.antaranews.com/berita/742584/mengenang-pak-pratman-di-museum-wr-soepratman-video
1,https://jatim.antaranews.com/berita/739875/taman-dan-upaya-mewujudkan-kota-berkelanjutan-di-surabaya
2,https://jatim.antaranews.com/berita/738849/seru-seruan-berwisata-bahari-di-bangsring-underwater-banyuwangi
3,https://jatim.antaranews.com/berita/737202/ikhtiar-masjid-al-akbar-surabaya-jadi-masjid-gen-zi-dan-hijau
4,https://jatim.antaranews.com/berita/735645/bibir-pantai-karanganyar-jember-kini-tak-lagi-gulita
5,https://jatim.antaranews.com/berita/734298/rasakan-sensasi-naik-kapal-mewah-km-dharma-rucitra-viii-ke-lombok
6,https://jatim.antaranews.com/berita/733908/belajar-cinta-tanah-air-di-museum-bawah-tanah-tugu-pahlawan
7,https://jatim.antaranews.com/berita/732714/merangkai-bunga-pilihan-sendiri-di-pasar-kayoon
8,https://jatim.antaranews.com/berita/747714/mengolah-limbah-plastik-menjadi-bbm-alternatif
9,https://jatim.antaranews.com/berita/747138/menakar-peluang-indonesia-lolos-ke-16-besar-piala-dunia-u-17
10,https://jatim.antaranews.com/berita/746511/asa-garuda-muda-masuk-babak-knockout-piala-dunia-u-17-tetap-besar
11,https://jatim.antaranews.com/berita/746082/gotong-royong-peduli-kesehatan-mental-kaum-muda
12,https://jatim.antaranews.com/berita/729177/kebakaran-hutan-dan-lahan-salah-siapa-
13,https://jatim.antaranews.com/berita/727062/belajar-tanpa-prasangka-dari-si-meong-pikko
14,https://jatim.antaranews.com/berita/724623/belajar-menghargai-perbedaan-dari-merah-dan-putih
15,https://jatim.antaranews.com/berita/724593/harapan-dan-realita-pelatih-tidak-sejalan
16,https://jatim.antaranews.com/berita/747474/whatsapp-miliki-500-juta-lebih-pengguna-di-fitur-saluran
17,https://jatim.antaranews.com/berita/746805/oppo-reno11-series-rilis-di-china-pada-23-november-2023
18,https://jatim.antaranews.com/berita/746601/nokia-identifikasi-tren-teknologi-2030
19,https://jatim.antaranews.com/berita/744825/oppo-fine-n3-gunakan-kualitas-kamera-foto-profesional
20,https://jatim.antaranews.com/berita/675735/pemerintah-amankan-pmi-di-saudi-yang-viral-di-medsos
21,https://jatim.antaranews.com/berita/671847/pekerja-migran-di-malaysia-sambut-baik-perpanjangan-program-rekalibrasi
